
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
33672,0.005,-0.276,0.965,0.427,0.183,-0.382,-15.96,-0.27
33922,0.004,-0.276,0.965,0.412,0.183,-0.351,-15.97,-0.22
34172,0.005,-0.276,0.965,0.382,0.168,-0.321,-15.95,-0.30
34422,0.004,-0.274,0.965,0.397,0.153,-0.351,-15.88,-0.22
34672,0.004,-0.276,0.965,0.366,0.183,-0.427,-15.94,-0.22
34922,0.005,-0.276,0.965,0.351,0.122,-0.382,-15.94,-0.27
35172,0.005,-0.275,0.964,0.382,0.137,-0.351,-15.94,-0.29
35422,0.004,-0.276,0.966,0.397,0.183,-0.382,-15.94,-0.23
35672,0.004,-0.275,0.965,0.366,0.122,-0.351,-15.92,-0.21
35922,0.003,-0.276,0.965,0.366,0.137,-0.351,-15.94,-0.20
36172,0.005,-0.274,0.965,0.397,0.183,-0.336,-15.84,-0.28
36422,0.004,-0.275,0.965,0.229,0.183,-0.336,-15.90,-0.22
36672,0.004,-0.275,0.966,0.321,0.168,-0.336,-15.90,-0.23
36922,0.004,-0.274,0.966,0.336,0.168,-0.336,-15.83,-0.24
37172,0.005,-0.274,0.967,0.397,0.153,-0.351,-15.83,-0.31
37422,0.004,-0.273,0.966,0.397,0.122,-0.366,-15.80,-0.21
37672,0.004,-0.274,0.965,0.382,0.183,-0.382,-15.85,-0.20
37922,0.004,-0.274,0.965,0.412,0.168,-0.305,-15.83,-0.22
38172,0.004,-0.273,0.967,0.351,0.214,-0.305,-15.78,-0.21
38422,0.005,-0.274,0.965,0.397,0.183,-0.351,-15.84,-0.28
38672,0.005,-0.273,0.964,0.382,0.137,-0.382,-15.82,-0.29
38922,0.004,-0.274,0.965,0.351,0.153,-0.366,-15.87,-0.24
39172,0.001,-0.275,0.965,0.305,0.198,-0.321,-15.88,-0.03
39422,0.006,-0.273,0.964,0.336,0.153,-0.321,-15.83,-0.33
39672,0.003,-0.273,0.966,0.427,0.183,-0.366,-15.76,-0.17
39922,0.003,-0.272,0.966,0.351,0.137,-0.351,-15.74,-0.19
40172,0.006,-0.274,0.966,0.458,0.168,-0.366,-15.86,-0.36
40422,0.006,-0.273,0.967,0.443,0.183,-0.397,-15.80,-0.36
40672,0.001,-0.274,0.968,0.473,0.168,-0.382,-15.79,-0.06
40922,0.005,-0.273,0.965,0.260,0.183,-0.351,-15.82,-0.26
41172,0.005,-0.273,0.965,0.382,0.153,-0.382,-15.79,-0.31
41422,0.002,-0.273,0.965,0.443,0.153,-0.366,-15.79,-0.13
41672,0.005,-0.272,0.965,0.443,0.214,-0.366,-15.76,-0.26
41922,0.005,-0.275,0.965,0.275,0.183,-0.382,-15.91,-0.31
42172,0.003,-0.275,0.964,0.397,0.153,-0.382,-15.92,-0.19
42422,0.005,-0.273,0.966,0.290,0.153,-0.397,-15.79,-0.26
42672,0.006,-0.272,0.965,0.580,0.168,-0.366,-15.76,-0.37
42922,0.006,-0.273,0.965,0.397,0.183,-0.366,-15.78,-0.34
43172,0.002,-0.274,0.966,0.473,0.168,-0.397,-15.82,-0.11
43422,0.004,-0.273,0.965,0.397,0.168,-0.321,-15.82,-0.21
43672,0.004,-0.273,0.967,0.443,0.137,-0.351,-15.78,-0.24
43922,0.005,-0.274,0.968,0.412,0.198,-0.382,-15.78,-0.26
44172,0.004,-0.273,0.966,0.458,0.198,-0.427,-15.76,-0.20
44422,0.005,-0.271,0.968,0.458,0.122,-0.351,-15.66,-0.29
