
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
34878,0.239,-0.013,1.120,46.763,14.275,1.008
35128,0.316,0.167,1.022,-31.313,-7.863,17.786
35378,0.257,0.160,0.873,-0.931,6.687,-6.427
35628,0.398,0.097,0.967,4.015,-51.786,-33.313
35878,0.247,-0.150,0.950,26.611,66.427,-51.603
36128,0.290,0.380,0.886,228.366,-50.137,-35.359
36378,0.111,0.618,0.405,-58.305,104.153,31.969
36628,0.079,0.784,0.688,-0.366,-11.344,-69.267
36878,0.170,0.863,0.668,-111.130,-36.260,47.374
37128,0.155,0.844,0.632,-11.756,-1.985,5.099
37378,0.098,0.788,0.492,39.618,17.817,-4.153
37628,0.101,0.879,0.515,-1.847,23.420,11.145
37878,0.068,0.718,0.410,28.626,-15.969,-25.221
38128,0.076,0.829,0.493,-72.611,45.298,34.382
38378,-0.222,0.913,0.131,-167.374,83.298,29.954
38628,-0.241,0.050,0.924,-250.122,-14.794,55.954
38878,-0.077,-0.428,1.014,37.008,-64.595,-14.198
39128,0.186,-0.580,1.257,43.237,-2.321,-12.122
39378,0.082,-0.220,0.957,-2.672,0.244,3.817
39628,0.085,-0.259,0.966,0.733,0.794,-0.122
39878,0.085,-0.258,0.967,0.519,0.550,-0.366
40128,0.082,-0.260,0.989,0.931,1.863,1.099
40378,0.076,-0.258,0.967,0.870,0.748,-0.183
40628,0.073,-0.258,0.969,0.794,0.137,-0.504
40878,0.071,-0.259,0.967,0.321,0.733,-0.229
41128,0.071,-0.260,0.966,0.336,0.595,-0.244
41378,0.066,-0.259,0.967,0.336,0.321,-0.397
41628,0.066,-0.260,0.966,0.046,0.748,-0.092
41878,0.065,-0.261,0.965,0.260,0.458,-0.397
42128,0.065,-0.260,0.966,0.214,0.412,-0.397
42378,0.064,-0.261,0.966,0.153,0.427,-0.290
42628,0.066,-0.261,0.967,0.336,0.473,-0.336
42878,0.063,-0.261,0.964,0.122,0.382,-0.382
43128,0.059,-0.263,0.963,0.412,0.290,-0.504
43378,0.059,-0.265,0.965,0.351,0.321,-0.443
43628,0.060,-0.265,0.964,0.198,0.397,-0.366
43878,0.060,-0.264,0.964,0.336,0.244,-0.504
44128,0.059,-0.268,0.960,0.229,0.931,0.366
44378,0.058,-0.265,0.964,0.198,0.366,-0.336
44628,0.033,-0.469,1.005,1.481,1.771,20.260
44878,0.215,-0.009,1.473,23.466,50.916,-58.519
45128,-0.326,0.301,0.627,45.084,27.328,37.893
45378,-0.487,0.443,0.754,8.397,21.573,15.939
45628,-0.320,0.424,0.807,-90.687,-39.511,-12.427
45878,-0.171,0.226,1.241,-17.893,17.176,-11.954
46128,-0.313,0.010,0.581,-1.282,34.534,2.550
46378,-0.525,-0.109,0.923,-27.344,27.817,19.725
46628,-0.534,0.235,0.856,-6.168,-23.405,-37.695
46878,-0.593,0.219,0.770,-10.794,-24.076,7.954
47128,-0.372,-0.307,0.965,-26.840,-27.496,-44.626
47378,-0.516,-0.220,0.880,16.260,56.443,36.916
47628,-0.577,0.389,0.972,-5.466,-52.443,-32.061
47878,-0.459,-0.186,0.841,86.397,12.397,72.534
48128,-0.557,0.280,1.789,111.221,-56.382,9.557
48378,-0.254,0.137,0.700,-15.710,-24.321,-5.115
48628,-0.207,0.117,0.874,-128.641,-33.221,10.809
48878,-0.404,-0.235,1.042,-46.076,122.733,-6.168
49128,-0.562,-0.134,0.707,140.336,-49.725,32.275
49378,-0.169,-0.387,1.104,-77.664,-46.076,-28.321
49628,0.002,-0.269,0.889,-29.008,-6.855,15.435
49878,0.018,-0.361,0.934,1.130,0.305,-0.275
50128,0.016,-0.357,0.933,0.931,0.290,-0.427
50378,0.016,-0.356,0.936,0.779,0.244,-0.473
50628,0.015,-0.353,0.938,0.702,0.275,-0.336
50878,0.014,-0.349,0.943,-0.641,0.229,-0.397
51128,0.016,-0.350,0.938,0.763,0.168,-0.458

--- CSV EXPORT END ---
