
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
46010,6.414,1.068,15.550,-0.164,-0.134,0.100,3.93,-22.37
46260,6.266,1.192,15.452,-0.216,-0.244,0.102,4.41,-22.01
46510,6.238,1.166,15.572,-0.118,0.022,0.018,4.28,-21.78
46760,6.416,1.152,15.348,-0.184,-0.060,0.100,4.29,-22.63
47011,6.238,1.124,15.548,0.044,0.412,-0.036,4.13,-21.81
47261,6.402,1.026,15.692,-0.224,-0.236,0.126,3.74,-22.15
47511,6.312,1.140,15.586,-0.054,0.088,0.040,4.18,-21.99
47761,6.328,1.108,15.576,-0.046,0.122,0.036,4.07,-22.06
48011,6.286,1.174,15.484,-0.100,-0.028,0.064,4.34,-22.04
48261,6.450,1.044,15.552,-0.026,0.020,0.094,3.84,-22.48
48511,6.140,1.256,15.340,-0.140,-0.208,0.158,4.68,-21.75
48761,6.278,1.144,15.612,-0.208,-0.218,0.084,4.19,-21.85
49012,6.296,1.020,15.888,-0.180,-0.324,0.116,3.67,-21.58
49262,6.260,1.088,15.684,-0.124,-0.036,0.054,3.97,-21.71
49512,6.234,1.130,15.592,-0.094,0.062,0.060,4.15,-21.74
49762,6.192,1.108,15.556,-0.162,-0.116,0.050,4.07,-21.66
50012,6.470,1.022,15.680,-0.056,0.058,0.030,3.73,-22.38
50262,6.428,1.082,15.628,0.138,0.512,-0.046,3.96,-22.31
50512,6.218,1.164,15.496,-0.142,-0.008,0.054,4.30,-21.81
50762,6.282,1.166,15.554,-0.050,0.132,0.030,4.29,-21.94
51013,6.282,1.130,15.580,-0.108,0.006,0.058,4.15,-21.91
51263,6.244,1.104,15.606,-0.128,-0.062,0.062,4.05,-21.76
51513,6.288,1.152,15.584,-0.068,0.028,0.054,4.23,-21.92
51763,6.306,1.108,15.562,-0.106,-0.010,0.060,4.07,-22.01
52013,6.284,1.118,15.590,-0.118,0.024,0.046,4.10,-21.90
52263,6.304,1.108,15.562,-0.070,0.078,0.056,4.07,-22.00
52513,6.300,1.168,15.490,-0.140,-0.040,0.052,4.31,-22.08
52763,6.334,1.138,15.430,-0.028,0.166,0.026,4.22,-22.26
53014,6.260,1.122,15.602,-0.054,0.194,0.026,4.11,-21.81
53264,6.326,1.184,15.468,-0.148,-0.100,0.068,4.38,-22.18
53514,6.292,1.136,15.568,-0.078,0.084,0.042,4.17,-21.95
53764,6.366,1.182,15.552,-0.124,-0.032,0.076,4.35,-22.20
54014,6.268,1.100,15.576,-0.060,0.066,0.038,4.04,-21.87
54264,6.274,1.014,15.622,-0.262,-0.352,0.118,3.71,-21.84
54514,6.272,1.154,15.556,0.056,0.340,-0.002,4.24,-21.90
54764,6.386,1.102,15.618,-0.208,-0.232,0.108,4.04,-22.19
55015,6.268,1.152,15.574,-0.020,0.172,0.030,4.23,-21.87
55265,6.286,1.128,15.610,-0.074,0.070,0.050,4.13,-21.88
55515,6.236,1.140,15.590,-0.106,-0.010,0.062,4.18,-21.75
55765,6.286,1.120,15.582,-0.080,0.030,0.060,4.11,-21.92
56015,6.290,1.130,15.560,-0.080,0.042,0.054,4.15,-21.96
56265,6.282,1.114,15.580,-0.082,0.052,0.048,4.09,-21.91
56515,6.260,1.122,15.586,-0.084,0.018,0.054,4.12,-21.83
56765,6.286,1.148,15.564,-0.086,0.046,0.050,4.22,-21.94
