
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
34521,-0.541,-0.472,1.253,-8.611,6.641,73.802
34771,-0.159,-0.039,0.923,-27.374,1.771,75.511
35021,-0.543,-0.215,0.861,-64.748,43.298,12.931
35271,-0.373,-0.054,0.954,7.023,1.756,11.420
35521,-0.351,-0.387,0.982,18.412,43.023,-80.031
35771,-0.568,-0.213,0.698,-17.267,16.336,-82.229
36021,-0.692,-0.103,0.961,-1.771,11.771,25.298
36271,-0.271,-0.332,0.953,91.664,-41.893,18.321
36521,-0.351,-0.105,0.779,30.092,-11.756,-75.328
36771,-0.621,-0.474,0.476,-38.275,27.405,-87.374
37021,-0.420,-0.306,0.502,-5.130,7.008,-18.183
37271,-0.506,-0.189,0.990,-23.282,-0.458,22.519
37521,-0.516,-0.664,0.962,-18.824,-14.412,82.244
37771,-0.249,-0.024,0.711,16.458,-0.260,22.092
38021,-0.488,-0.517,1.472,-1.740,-30.489,-53.603
38271,-0.187,-0.209,0.670,-12.275,-48.443,-30.351
38521,-0.470,-0.443,1.194,14.092,12.992,29.863
38771,-0.033,-0.222,0.534,22.855,65.664,116.824
39021,-0.255,0.184,0.782,9.618,-14.076,-75.786
39271,-0.260,-0.216,0.862,-22.397,31.359,-147.542
39521,-0.389,-0.174,0.560,2.763,45.206,-41.817
39771,-0.636,-0.670,1.005,-56.962,-38.626,38.641
40021,-0.304,-0.305,0.952,35.450,-24.153,137.328
40271,-0.187,-0.094,0.874,-0.504,12.244,7.695
40521,-0.274,-0.232,1.062,3.466,-5.786,-76.550
40771,-0.580,-0.332,0.947,3.969,0.687,-41.267
41021,-0.400,-0.266,1.151,14.366,22.656,36.321
41271,-0.154,0.015,0.470,12.656,-17.099,2.763
41521,-0.144,-0.391,1.628,31.649,-90.718,-91.237
41771,-0.225,-0.218,0.808,-5.527,38.779,-37.878
42021,-0.513,-0.637,1.439,11.664,-18.107,21.160
42271,-0.050,-0.354,0.625,34.702,40.824,81.679
42521,-0.233,-0.095,0.515,-1.847,-31.099,-36.076
42771,-0.095,-0.115,0.703,-45.924,-13.160,-44.290
