
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
25470,1.892,4.830,5.274,-15.486,7.316,3.064,42.48,-14.82
25720,6.702,-4.274,17.912,0.190,-7.004,-2.688,-13.42,-20.00
25970,5.212,-0.330,13.922,9.964,4.858,-5.862,-1.36,-20.52
26220,1.506,0.098,16.162,-0.342,3.830,-1.530,0.35,-5.32
26470,1.648,0.884,16.326,-2.940,0.338,0.598,3.10,-5.76
26720,0.564,0.332,16.500,-0.608,0.034,-0.726,1.15,-1.96
26970,0.466,0.410,16.444,-0.042,0.282,-0.158,1.43,-1.62
27220,0.376,0.348,16.454,-0.196,0.168,-0.122,1.21,-1.31
27470,0.320,0.182,16.470,-0.200,0.092,-0.120,0.63,-1.11
27720,0.330,0.036,16.570,-0.332,0.016,-0.186,0.12,-1.14
27970,0.232,0.080,16.486,-0.054,0.074,-0.078,0.28,-0.81
28220,0.200,0.030,16.484,0.010,0.094,-0.076,0.10,-0.70
28470,0.150,0.004,16.452,0.044,0.054,-0.078,0.01,-0.52
28720,0.112,0.006,16.484,0.042,0.074,-0.072,0.02,-0.39
28970,0.092,0.014,16.482,0.046,0.068,-0.070,0.05,-0.32
29220,0.054,0.008,16.490,0.048,0.064,-0.066,0.03,-0.19
29470,0.074,0.030,16.454,0.044,0.020,-0.058,0.10,-0.26
29720,0.054,0.000,16.468,0.044,0.014,-0.066,0.00,-0.19
29970,0.064,0.004,16.476,0.052,0.016,-0.068,0.01,-0.22
30220,0.060,0.042,16.466,0.110,0.038,-0.058,0.15,-0.21
30470,0.034,0.060,16.484,0.090,0.028,-0.064,0.21,-0.12
30720,0.044,0.074,16.490,0.086,0.028,-0.056,0.26,-0.15
30970,0.040,0.110,16.486,0.098,0.034,-0.058,0.38,-0.14
31220,0.052,0.056,16.484,0.076,0.022,-0.054,0.19,-0.18
31470,0.038,0.084,16.482,0.076,0.024,-0.056,0.29,-0.13
31720,0.018,0.080,16.494,0.066,0.022,-0.058,0.28,-0.06
13614,-0.003,0.016,1.006,0.382,0.107,-0.534,0.93,0.19
13864,-0.002,0.017,1.005,0.382,0.107,-0.458,0.98,0.10
14114,-0.002,0.017,1.004,0.351,0.122,-0.489,0.99,0.10
14364,-0.002,0.017,1.004,0.336,0.076,-0.489,0.95,0.14
14614,-0.002,0.018,1.006,0.366,0.107,-0.458,1.01,0.12
14864,-0.002,0.018,1.005,0.321,0.076,-0.458,1.00,0.13
15114,-0.003,0.015,1.005,-7.359,-2.962,-0.382,0.86,0.15
15364,-0.018,-0.123,1.026,-3.069,-6.687,-90.977,-6.81,0.99
15614,0.042,0.181,-0.106,35.679,21.847,-199.374,120.48,-11.30
15864,0.073,0.339,0.786,31.282,-51.542,250.130,23.30,-4.90
16114,0.724,-0.171,0.511,-155.832,77.450,-250.122,-18.46,-53.33
16364,0.497,-1.265,0.623,237.878,-161.740,179.099,-63.78,-19.40
16614,0.106,0.207,0.827,118.244,175.466,115.924,14.03,-7.09
16864,0.264,-0.322,1.372,-249.802,-218.779,-81.160,-13.19,-10.60
17114,0.380,-1.052,0.786,250.130,-14.076,-132.763,-53.26,-16.15
17364,0.438,0.043,0.688,185.115,73.771,250.130,3.62,-32.42
17614,0.198,0.314,0.989,-186.733,98.183,-234.534,17.64,-10.78
17864,0.451,-0.935,0.581,50.763,-12.046,-31.527,-58.16,-22.28
18114,0.020,0.515,0.829,155.557,13.160,160.412,31.85,-1.15
18364,0.285,-0.344,0.649,-211.832,6.168,-226.015,-27.94,-21.18
18614,0.484,-0.968,0.606,75.466,0.656,90.458,-57.95,-22.97
18864,-0.064,0.518,0.829,31.221,60.351,123.634,31.98,3.74
19114,0.148,-0.048,1.281,-148.031,-14.794,-152.382,-2.15,-6.60
19364,0.461,-1.034,0.574,35.786,-34.672,85.863,-60.97,-21.30
19614,-0.039,0.361,0.979,33.893,26.840,130.504,20.26,2.15
19864,0.239,-0.528,0.819,-151.145,37.084,-144.473,-32.80,-13.80
20114,0.447,-0.850,0.896,51.389,-47.450,142.824,-43.49,-19.92
20364,-0.067,0.471,0.916,14.779,-9.939,67.832,27.21,3.73
20614,0.290,-0.350,0.722,-93.924,41.618,-153.359,-25.89,-19.86
20864,0.378,-0.417,0.898,108.809,1.878,141.237,-24.91,-20.91
21114,-0.082,0.749,1.120,-39.603,-11.481,-49.969,33.78,3.48
21364,0.473,-0.227,1.727,28.092,-83.496,51.191,-7.48,-15.19
21614,0.030,-0.006,1.036,-95.069,159.466,-2.153,-0.36,-1.68
21864,-0.007,-0.502,1.262,32.916,-181.756,12.427,-21.67,0.28
22114,0.327,-0.467,0.705,-8.290,13.954,32.534,-33.51,-21.13
22364,-0.133,0.231,0.531,-147.115,146.458,-9.832,23.52,12.92
22614,-0.085,-0.230,0.790,38.656,-93.389,5.389,-16.23,5.88
22864,0.352,-0.659,1.014,93.893,-65.084,5.405,-33.02,-16.21
23114,0.479,-0.053,1.014,27.237,250.130,-40.840,-3.00,-25.28
23364,-0.065,-0.300,1.329,76.977,-228.443,-72.458,-12.73,2.75
23614,-0.103,-0.252,0.917,224.611,10.595,-17.328,-15.35,6.16
23864,0.005,0.447,0.612,-250.122,24.382,-3.053,36.12,-0.41
24114,-0.174,-0.267,0.876,11.771,70.122,40.824,-16.94,10.77
24364,-0.144,0.021,0.964,37.344,-58.351,-22.229,1.25,8.47
24614,-0.004,-0.054,1.162,25.756,-15.206,-7.191,-2.66,0.20
24864,-0.036,0.044,1.187,-3.893,45.084,6.229,2.14,1.74
25114,-0.152,-0.016,0.698,9.817,21.527,4.290,-1.32,12.26
25364,-0.015,-0.089,1.061,2.382,-45.252,-5.924,-4.78,0.83
25614,0.005,-0.051,1.277,-5.160,3.176,-4.031,-2.29,-0.22
25864,-0.099,-0.023,0.894,-9.695,72.534,7.435,-1.49,6.33
26114,-0.155,-0.136,0.797,-1.099,-50.840,-11.679,-9.71,10.86
26364,0.013,-0.078,1.210,9.832,-44.595,-9.008,-3.68,-0.63
26614,-0.013,-0.021,1.212,-12.321,46.885,6.168,-0.99,0.63
26864,-0.173,-0.063,0.708,-0.382,47.573,5.847,-5.08,13.69
27114,0.004,-0.159,1.130,-2.153,-90.534,-8.794,-8.01,-0.18
27364,-0.048,0.003,1.214,-8.550,29.695,-3.405,0.16,2.25
27614,-0.034,-0.117,0.649,-7.115,20.031,-2.351,-10.24,2.93
