65.87,-7.50772,5.20944,4.51995
65.98,-7.3545,3.60064,4.78809
66.08,-6.70332,2.68133,5.13283
66.18,-6.89484,3.90708,5.17113
66.29,-6.39688,4.17521,4.82639
66.39,-6.35858,4.40504,4.903
66.49,-7.08637,4.29012,4.59656
66.60,-7.23959,4.51995,4.29012
66.70,-6.89484,4.51995,4.32843
66.80,-6.70332,4.51995,4.67317
66.91,-6.74162,4.44334,4.63487
67.01,-6.62671,4.32843,4.86469
67.11,-6.66501,4.25182,4.71148
67.22,-6.74162,4.40504,4.63487
67.32,-6.74162,4.55826,4.71148
67.42,-6.66501,4.48165,4.82639
67.53,-6.62671,4.51995,4.9413
67.63,-6.5501,4.36673,5.01791
67.73,-6.32027,4.40504,4.86469
67.84,-6.81823,4.44334,4.9413
67.94,-6.62671,4.29012,5.17113
68.04,-6.35858,4.36673,5.20944
68.15,-6.5501,4.40504,5.24774
68.25,-6.58841,4.48165,4.903
68.35,-6.70332,4.55826,4.71148
68.46,-6.74162,4.59656,4.63487
68.57,-6.77993,4.44334,4.71148
68.67,-6.62671,4.48165,4.903
68.78,-6.70332,4.55826,4.903
68.88,-6.5501,4.40504,4.97961
68.98,-6.43519,4.25182,5.36266
69.09,-6.32027,4.36673,5.28605
69.19,-6.39688,4.44334,4.86469
69.29,-6.09044,4.17521,5.36266
69.40,-4.40504,6.32027,6.5118
69.50,-5.51587,6.09044,4.51995
69.61,-5.66909,5.43926,5.24774
69.71,-7.04806,4.903,4.40504
69.81,-6.97145,1.91523,5.24774
69.92,-8.81008,-0.344742,5.13283
70.02,-9.15482,-1.41727,4.17521
70.12,-10.0741,-1.30236,-0.0766094
70.23,-9.92091,-2.68133,-3.37081
70.33,-11.8745,-2.91116,0.306437
70.43,-9.53786,-0.957617,1.83862
70.54,-8.38873,-1.87693,0.497961
70.64,-7.62263,-2.79624,0.229828
70.74,-7.58433,-3.71555,1.11084
70.85,-8.46534,-1.76202,2.03015
70.95,-8.50364,-0.268133,0.306437
71.05,-9.19312,-0.919312,0.804398
71.16,-10.7636,0.344742,2.83455
71.26,-10.8402,0.57457,1.34066
71.36,-8.35042,1.26405,0.957617
