(3.17929, -3.98369, 8.61855)
(3.02607, -4.0603, 8.69516)
(3.33251, -4.0603, 8.58025)
(3.40912, -4.0603, 8.54194)
(2.79624, -3.98369, 8.35042)
(2.94946, -3.94538, 8.42703)
(2.91116, -3.86877, 8.46534)
(3.21759, -4.21351, 8.08229)
(3.33251, -3.98369, 8.1972)
(2.98777, -3.94538, 8.23551)
(2.94946, -3.79216, 8.73347)
(3.21759, -3.56234, 8.04398)
(3.75386, -3.37081, 8.1589)
(4.0603, -2.71963, 8.1972)
(4.71148, -2.52811, 8.38873)
(4.9413, -2.56641, 7.58433)
(5.20944, -2.33659, 7.62263)
(5.32435, -1.18745, 6.85654)
(6.16705, -0.0766094, 6.62671)
(5.89892, 1.11084, 7.20128)
(6.28197, 2.68133, 7.08637)
(5.59248, 3.52403, 6.39688)
(4.78809, 5.59248, 6.74162)
(5.51587, 6.93315, 6.77993)
(5.43926, 6.66501, 6.5118)
(4.40504, 5.82231, 5.47757)
(4.67317, 6.93315, 4.78809)
(4.67317, 7.04806, 4.25182)
(4.74978, 6.58841, 3.98369)
(4.71148, 6.47349, 3.94538)
(5.17113, 6.93315, 3.40912)
(5.01791, 6.93315, 3.2559)
(5.13283, 6.77993, 3.60064)
(5.17113, 6.62671, 3.52403)
(18.0798, 9.0016, 11.6829)
(18.4629, 19.8418, 5.7457)
(1.87693, 15.4368, -3.79216)
(-11.0317, 1.80032, -1.72371)
(-1.30236, -7.66094, 4.17521)
(-2.10676, -2.64302, 2.68133)
(-2.87285, 5.59248, -1.83862)
(4.74978, 11.4148, 0.0)
(4.40504, 20.8761, 9.23143)
(28.5753, 3.56234, 5.20944)
(7.20128, 7.3928, 2.52811)
(7.23959, 7.73755, 3.14098)
(16.0114, 7.62263, 7.62263)
(22.1401, 10.0741, 7.66094)
(7.23959, 10.304, -1.30236)
(-11.4531, 6.93315, -3.90708)
(-1.76202, -8.1589, 2.60472)
(0.421352, -7.81416, 2.10676)
(-1.6471, -0.766094, 0.0383047)
(0.497961, 4.78809, -0.344742)
(12.1426, 15.207, 0.65118)
(12.6788, 9.42295, 7.08637)
(9.61448, 4.40504, 3.90708)
(7.3545, 7.23959, 1.26405)
(9.0016, 7.23959, 1.80032)
(14.211, 7.54602, 3.14098)
(21.6421, 3.40912, 5.86062)
(21.4506, 6.16705, 0.153219)
(-7.12467, 10.0358, -4.74978)
(-8.27381, -2.56641, 3.17929)
(0.114914, -8.84838, 4.903)
(0.881008, -9.8443, 4.59656)
(0.766094, -9.46126, 3.94538)
(-0.383047, -8.1589, 3.37081)
(-0.995922, -7.54602, 2.4515)
(-0.536266, -5.63079, 2.06845)
(3.86877, -4.32843, 3.06437)
(4.02199, -6.39688, 4.13691)
(7.85246, -6.20536, 4.40504)
(7.96737, -3.2559, 4.40504)
(9.92091, -0.459656, 3.48573)
(9.72939, 1.83862, 3.2559)
(9.07821, 4.25182, 3.33251)
(7.16298, 5.7457, 3.2942)
(5.97553, 7.00976, 2.60472)
(5.09452, 8.04398, 2.33659)
(4.0603, 8.12059, 2.71963)
(3.60064, 8.77177, 2.06845)
(3.56234, 9.30804, 2.79624)
(3.21759, 9.07821, 2.4898)
(3.2942, 8.73347, 2.18337)
(3.02607, 8.77177, 2.22167)
(3.02607, 8.73347, 2.14506)
(3.02607, 8.81008, 1.91523)
(2.94946, 8.38873, 1.91523)
(2.94946, 8.84838, 1.72371)
(3.17929, 8.1972, 2.60472)
(3.2942, 8.54194, 2.52811)
(3.21759, 9.0016, 2.52811)
(3.37081, 8.54194, 2.52811)
(2.94946, 8.27381, 2.33659)
(2.68133, 8.61855, 2.25998)
(2.71963, 8.81008, 2.4898)
(2.79624, 8.38873, 2.41319)
(2.83455, 7.85246, 2.56641)
(3.14098, 9.69109, 2.37489)
(2.71963, 9.07821, 2.22167)
(2.87285, 8.38873, 2.68133)
(2.79624, 9.42295, 2.25998)
(2.4515, 9.34634, 1.68541)
(2.41319, 8.31211, 1.95354)
(2.56641, 8.61855, 2.4515)
(2.71963, 7.92907, 2.03015)
(2.91116, 9.76769, 2.33659)
(2.41319, 9.65278, 2.14506)
(1.76202, 9.07821, 1.95354)
(1.68541, 9.42295, 2.10676)
(1.91523, 8.46534, 2.52811)
(2.33659, 8.27381, 2.33659)
(2.37489, 8.96329, 2.87285)
(2.29828, 9.88261, 2.22167)
(2.18337, 9.61448, 1.80032)
(1.57049, 9.42295, 2.03015)
(1.57049, 9.61448, 1.26405)
(2.25998, 8.81008, 1.6088)
(2.41319, 8.61855, 1.68541)
(2.68133, 8.31211, 1.91523)
(2.79624, 7.77585, 2.4515)
(3.14098, 9.15482, 2.68133)
(2.56641, 8.61855, 2.37489)
(2.71963, 8.77177, 1.6088)
(2.71963, 9.34634, 2.33659)
(2.29828, 8.50364, 2.68133)
(2.29828, 8.69516, 2.4898)
(2.14506, 8.50364, 2.10676)
(2.41319, 9.15482, 2.18337)
(2.41319, 10.9934, 1.91523)
(2.29828, 8.50364, 1.30236)
(1.6088, 9.11651, 1.37897)
(2.87285, 9.19312, 1.80032)
(2.94946, 9.38465, 1.45558)
(2.22167, 8.92499, 1.49388)
(2.22167, 8.27381, 1.45558)
(2.60472, 8.12059, 2.14506)
(2.4515, 10.189, 2.33659)
(2.52811, 8.58025, 2.4898)
(1.80032, 9.30804, 1.80032)
(1.87693, 8.77177, 1.80032)
(1.30236, 9.65278, 2.14506)
(1.41727, 9.0016, 2.4515)
(1.95354, 8.92499, 2.29828)
(1.91523, 8.84838, 2.33659)
(1.91523, 8.61855, 2.33659)
(2.03015, 10.3423, 2.29828)
(2.03015, 9.57617, 1.83862)
(2.10676, 8.73347, 1.72371)
(1.87693, 9.34634, 1.45558)
(1.95354, 9.8443, 1.57049)
(2.10676, 8.46534, 1.87693)
(2.4515, 8.46534, 2.03015)
