(5.66909, -4.0986, 6.85654)
(5.20944, -4.21351, 6.89484)
(5.28605, -4.51995, 6.97145)
(5.20944, -4.51995, 6.5501)
(5.28605, -4.40504, 6.66501)
(5.47757, -4.17521, 6.89484)
(5.28605, -4.36673, 6.97145)
(5.28605, -4.44334, 6.70332)
(5.51587, -4.17521, 6.89484)
(5.40096, -4.29012, 6.89484)
(5.51587, -4.29012, 6.62671)
(5.51587, -4.29012, 7.00976)
(5.40096, -4.44334, 6.47349)
(4.51995, -4.48165, 7.04806)
(3.98369, -4.63487, 8.23551)
(3.67725, -3.71555, 7.12467)
(3.67725, -4.02199, 7.69924)
(3.83047, -3.86877, 8.61855)
(4.17521, -3.75386, 7.77585)
(4.13691, -4.0603, 7.54602)
(4.36673, -3.83047, 7.69924)
(4.36673, -3.94538, 7.96737)
(4.51995, -3.79216, 7.81416)
(4.48165, -3.83047, 7.89076)
(4.40504, -3.86877, 7.69924)
(4.55826, -3.79216, 7.69924)
(4.55826, -3.83047, 7.85246)
(4.97961, -3.75386, 7.69924)
(4.51995, -3.83047, 7.77585)
(4.67317, -3.75386, 7.81416)
(4.74978, -3.52403, 7.58433)
(5.13283, -3.52403, 7.69924)
(5.20944, -3.83047, 7.46941)
(4.97961, -3.79216, 7.58433)
(5.01791, -3.52403, 7.73755)
(5.24774, -3.79216, 7.23959)
(4.97961, -4.0603, 7.46941)
(5.09452, -3.83047, 7.69924)
(5.40096, -3.44742, 7.3928)
(4.97961, -3.71555, 7.3545)
(5.28605, -3.86877, 7.00976)
(5.32435, -3.94538, 7.46941)
(5.47757, -3.48573, 7.62263)
(5.43926, -3.56234, 7.50772)
(4.74978, -4.0603, 7.12467)
(4.71148, -3.98369, 7.00976)
(5.09452, -3.60064, 7.46941)
(4.86469, -4.48165, 7.54602)
(5.13283, -3.86877, 7.3928)
(5.17113, -3.67725, 7.20128)
(4.40504, -4.21351, 7.31619)
(4.48165, -4.36673, 7.73755)
(4.74978, -4.36673, 7.66094)
(4.63487, -3.83047, 7.81416)
(5.24774, -4.17521, 7.73755)
(4.0603, -3.56234, 7.96737)
(4.903, -4.36673, 7.31619)
(4.903, -4.0603, 7.08637)
(4.48165, -3.83047, 7.3928)
(4.903, -3.71555, 7.50772)
(4.86469, -3.52403, 7.50772)
(4.63487, -3.75386, 7.81416)
(5.40096, -3.75386, 7.50772)
(4.82639, -4.0603, 7.08637)
(4.86469, -3.63894, 7.54602)
(5.36266, -3.40912, 7.27789)
(4.86469, -3.94538, 7.77585)
(4.74978, -4.02199, 7.3545)
(4.74978, -3.75386, 7.50772)
(4.63487, -3.79216, 7.43111)
(4.74978, -4.13691, 7.20128)
(4.71148, -4.02199, 7.46941)
(4.71148, -4.02199, 7.66094)
(4.67317, -3.83047, 7.69924)
(4.71148, -4.13691, 7.50772)
(4.63487, -3.94538, 7.43111)
(4.71148, -3.98369, 7.50772)
(4.9413, -4.02199, 7.50772)
(4.74978, -4.0986, 7.31619)
(4.67317, -3.98369, 7.54602)
(4.59656, -4.0603, 7.3545)
(4.78809, -3.94538, 7.3545)
(4.82639, -3.98369, 7.3545)
(4.74978, -4.25182, 7.58433)
(4.67317, -4.0603, 7.58433)
(4.82639, -3.86877, 7.3928)
(4.86469, -3.83047, 7.50772)
(4.97961, -3.94538, 7.3928)
(4.78809, -3.94538, 7.54602)
(4.82639, -3.86877, 7.46941)
(4.903, -3.94538, 7.43111)
(4.86469, -3.90708, 7.46941)
(4.82639, -3.90708, 7.3545)
(4.78809, -4.0603, 7.46941)
(4.903, -4.02199, 7.43111)
(4.78809, -3.86877, 7.46941)
(4.86469, -3.75386, 7.46941)
(4.67317, -4.02199, 7.3545)
(4.97961, -3.75386, 7.62263)
(4.9413, -3.98369, 7.54602)
(4.63487, -3.98369, 7.3928)
(4.63487, -3.75386, 7.50772)
(4.86469, -3.90708, 7.31619)
(4.78809, -3.98369, 7.43111)
(4.82639, -3.71555, 7.46941)
(4.67317, -3.98369, 7.16298)
(4.71148, -3.79216, 7.50772)
(4.74978, -4.02199, 7.16298)
(4.78809, -3.83047, 7.46941)
(4.78809, -3.86877, 7.43111)
(4.74978, -4.02199, 7.23959)
(4.97961, -3.94538, 7.50772)
(4.86469, -3.90708, 7.3545)
(4.78809, -3.86877, 7.69924)
(4.86469, -3.83047, 7.46941)
(4.78809, -3.83047, 7.66094)
(4.82639, -3.90708, 7.3545)
(4.86469, -3.86877, 7.54602)
(5.05622, -3.94538, 7.54602)
(4.78809, -3.98369, 7.50772)
(4.86469, -3.86877, 7.66094)
(4.903, -4.02199, 7.3545)
(4.9413, -3.86877, 7.46941)
(4.67317, -3.94538, 7.73755)
(4.97961, -3.94538, 7.43111)
(4.86469, -3.86877, 7.3928)
(4.86469, -3.94538, 7.46941)
(4.86469, -3.83047, 7.3928)
(4.903, -3.86877, 7.43111)
(4.903, -3.94538, 7.43111)
(4.78809, -3.79216, 7.23959)
(4.9413, -3.79216, 7.3928)
(4.86469, -3.90708, 7.58433)
(4.97961, -3.90708, 7.3928)
(5.17113, -3.75386, 7.46941)
(4.74978, -4.02199, 7.85246)
(4.59656, -3.94538, 7.46941)
(5.40096, -4.13691, 7.81416)
(4.97961, -3.94538, 7.23959)
(4.86469, -3.86877, 7.20128)
(5.09452, -3.79216, 7.20128)
(5.20944, -3.83047, 7.3545)
(5.05622, -3.83047, 7.27789)
(5.09452, -3.90708, 7.3928)
(5.13283, -3.83047, 7.31619)
(5.17113, -3.94538, 7.31619)
